ds,id_user,is_active
2021-10-01,21635,0
2021-10-01,31830,0
2021-10-01,69552,1
2021-10-01,68411,1
2021-10-01,32647,0
2021-10-01,30627,1
2021-10-01,88463,1
2021-10-01,63995,0
2021-10-01,41430,1
2021-10-01,87279,0
2021-10-01,38840,1
2021-10-01,27104,1
2021-10-01,47184,1
2021-10-01,32126,1
2021-10-01,71900,0
2021-10-01,14332,1
2021-10-01,73395,1
2021-10-01,25300,0
2021-10-01,31178,0
2021-10-01,86893,0
2021-10-01,47128,1
2021-10-01,99794,1
2021-10-01,24657,0
2021-10-01,11701,1
2021-10-01,96630,1
2021-10-01,36223,1
2021-10-01,95552,0
2021-10-01,35922,0
2021-10-01,21361,0
2021-10-01,90289,1
2021-10-01,97133,0
2021-10-01,54367,0
2021-10-01,30585,1
2021-10-01,83238,1
2021-10-01,69211,1
2021-10-01,74792,0
2021-10-01,91549,1
2021-10-01,20238,1
2021-10-01,23875,1
2021-10-01,12208,1
2021-10-01,15901,1
2021-10-01,11541,0
2021-10-01,35925,1
2021-10-01,49635,1
2021-10-01,93497,1
2021-10-01,96504,1
2021-10-01,59065,0
2021-10-01,49390,1
2021-10-01,36049,1
2021-10-01,91148,1
2021-10-01,72372,1
2021-10-01,25958,0
2021-10-01,49142,1
2021-10-01,25763,0
2021-10-01,52812,0
2021-10-01,88771,0
2021-10-01,50086,0
2021-10-01,50272,1
2021-10-01,98649,0
2021-10-01,40809,1
2021-10-01,10795,0
2021-10-01,81548,0
2021-10-01,15485,1
2021-10-01,36833,0
2021-10-01,29405,1
2021-10-01,78695,1
2021-10-01,41356,1
2021-10-01,43291,0
2021-10-01,31735,0
2021-10-01,39416,1
2021-10-01,49811,0
2021-10-01,80421,1
2021-10-01,33819,0
2021-10-01,13028,1
2021-10-01,90259,0
2021-10-01,65977,1
2021-10-01,49748,1
2021-10-01,33416,0
2021-10-01,72957,1
2021-10-01,29086,1
2021-10-01,34836,1
2021-10-01,48298,0
2021-10-01,41988,1
2021-10-01,62257,1
2021-10-01,32722,1
2021-10-01,29513,0
2021-10-01,43341,0
2021-10-01,29320,0
2021-10-01,26467,0
2021-10-01,42755,0
2021-10-01,76751,0
2021-10-01,37151,1
2021-10-01,37886,1
2021-10-01,34139,0
2021-10-01,79376,0
2021-10-01,49465,1
2021-10-01,86436,1
2021-10-01,85325,1
2021-10-01,26550,1
2021-10-02,41642,1
2021-10-02,38818,1
2021-10-02,28520,1
2021-10-02,59892,0
2021-10-02,56599,1
2021-10-02,73118,0
2021-10-02,67615,1
2021-10-02,65859,0
2021-10-02,73054,1
2021-10-02,26793,1
2021-10-02,81969,1
2021-10-02,28450,0
2021-10-02,39167,0
2021-10-02,16088,0
2021-10-02,74894,0
2021-10-02,18260,0
2021-10-02,36520,0
2021-10-02,15602,1
2021-10-02,39778,0
2021-10-02,46283,0
2021-10-02,41670,1
2021-10-02,30600,1
2021-10-02,12951,0
2021-10-02,74995,0
2021-10-02,35083,0
2021-10-02,51423,1
2021-10-02,93903,0
2021-10-02,51085,1
2021-10-02,40187,1
2021-10-02,48879,0
2021-10-02,60264,0
2021-10-02,73925,1
2021-10-02,18458,0
2021-10-02,81854,1
2021-10-02,57083,0
2021-10-02,31379,1
2021-10-02,50014,1
2021-10-02,43546,1
2021-10-02,47365,1
2021-10-02,89860,1
2021-10-02,93002,0
2021-10-02,10707,1
2021-10-02,43569,1
2021-10-02,38688,0
2021-10-02,69227,1
2021-10-02,91059,0
2021-10-02,27844,1
2021-10-02,69753,0
2021-10-02,27937,0
2021-10-02,17673,0
2021-10-02,62123,1
2021-10-02,32233,0
2021-10-02,24443,1
2021-10-02,95494,1
2021-10-02,97892,1
2021-10-02,48711,0
2021-10-02,25349,0
2021-10-02,74441,0
2021-10-02,99454,1
2021-10-02,23390,1
2021-10-02,87571,1
2021-10-02,95537,1
2021-10-02,63790,1
2021-10-02,75330,0
2021-10-02,74015,0
2021-10-02,41394,1
2021-10-02,44755,0
2021-10-02,19630,1
2021-10-02,44847,1
2021-10-02,30028,0
2021-10-02,29281,0
2021-10-02,77296,0
2021-10-02,89588,0
2021-10-02,41469,0
2021-10-02,88494,0
2021-10-02,10170,0
2021-10-02,21939,1
2021-10-02,19914,0
2021-10-02,27209,0
2021-10-02,10762,1
2021-10-02,96196,0
2021-10-02,20286,1
2021-10-02,91145,0
2021-10-02,78054,1
2021-10-02,31407,1
2021-10-02,86959,1
2021-10-02,82371,0
2021-10-02,29451,0
2021-10-02,86969,0
2021-10-02,34155,0
2021-10-02,40003,1
2021-10-02,25907,0
2021-10-02,61319,1
2021-10-02,52061,1
2021-10-02,44964,1
2021-10-02,71981,1
2021-10-02,33548,1
2021-10-02,40045,1
